"id";"type";"title";"effect";"tags";"conditional_tags";"lore";"discipline";"rarity";"author";"socket_a";"socket_b";"socket_d";"socket_e";"socket_f";"socket_g";"energy";"speed";"hp";"armour";"shield";"abm";"damage";"control";"damage_abm";"damage_shield";"damage_armour"
"101";"equipment";"Quantentorpedos";"";"Einmalige Verwendung";"";"""Wer über die Quantentheorie nicht entsetzt ist, der hat sie nicht verstanden."" - Niels Bohr";"";"5";"C. Thomsen";"";"";"-1";"";"";"";"-1";"";"";"";"";"";"24";"";"-9";"-7";""
"102";"hull";"Sternbasis [Sektion]";"Komponenten (3x Sektion)";"";"";"Diese Sternbasis wurde errichtet, um diesen Teil unseres Sonnensystems zu kontrollieren.";"";"5";"pikabobalex @sketchfab";"1";"2";"1";"3";"";"";"";"0";"17";"";"";"";"";"";"";"";""
"103";"equipment";"Adamantiumpanzer";"";"Einmalige Verwendung";"";"Adamantium ist eine äußerst seltene Legierung, die nur in einigen wenigen Legierungsgießereien im Sonnensystem hergestellt werden kann.";"";"5";"C. Thomsen";"";"";"";"-2";"";"";"";"";"";"";"";"";"";"";"";"";""
"104";"equipment";"Antimaterietorpedos";"";"Einmalige Verwendung";"";"Jeder dieser Sprengköpfe ist mit 2 kg Antimaterie bestückt, welche bei Annihilation eine Sprengkraft äquivalent zu 90 Megatonnen TNT freisetzt.";"";"5";"C. Thomsen";"";"";"-1";"";"";"";"-2";"";"";"";"";"";"22";"";"-11";"";""
"104";"equipment";"Reparaturnaniten";"Entferne am Ende deines Zuges bis zu 10 Schadensmarken von diesem Schiff.";"";"";"""Sollen sich auch alle schämen, die gedankenlos sich der Wunder der Wissenschaft und Technik bedienen, und nicht mehr davon geistig erfasst haben als die Kuh von der Botanik der Pflanzen, die sie mit Wohlbehagen frisst."" - Albert Einstein";"";"5";"Yulyolya @sketchfab";"";"";"";"-1";"";"";"-1";"";"";"";"";"";"";"";"";"";""
"105";"infrastructure";"Antimateriereaktor";"Wird dieses Schiff im Gefecht zerstört, füge vor dem Entfernen dieser Karte allen an diesem Gefecht teilnehmenden Schiffen 1 {ICON:damage} zu.";"";"";"Dieser Reaktor nutzt die bei der Kollision von Materie mit Antimaterie freigewordene Energie. Eine unkontrollierte Kollision der gesamten hier verwahrten Antimaterie hätte jedoch fatale Folgen.";"";"5";"glewindesign @sketchfab";"";"";"";"-3";"";"";"10";"";"";"";"";"";"";"";"";"";""
"106";"equipment";"Tachyonlanze";"";"";"";"Diese experimentellen Energiewaffen verschießen superluminare Tachyonen. Da Tachyonen sich schneller als das Licht bewegen, haben die Ziele selbst auf extremen Distanzen keine Möglichkeiten Gegenmaßnahmen einzuleiten, bevor sie getroffen werden.";"";"5";"C. Thomsen";"";"-2";"";"";"";"";"-4";"";"";"";"";"";"8";"";"";"-5";""
"107";"equipment";"Partikellanze";"";"";"";"Diese schweren Energiewaffen verschießen fokussierte Partikelstrahlen, welche außerhalb von Energieschilden verheerende Schäden verursachen.";"";"4";"cinnamine @sketchfab";"";"-2";"";"";"";"";"-2";"";"";"";"";"";"7";"";"";"-5";""
"108";"tactic";"Asteroideneinschlag";"";"Unsere Astrodynamiker sagen, dass wir einen großen Felsbrocken aus den Ringen des Saturns mittels eines Swing-by-Manövers in ein tödliches Geschoss verwandeln könnten.";"";"Diese Karte führt einen einzelnen Angriff auf eine gegnerische Kolonie aus.";"Wissenschaft";"4";"C. Thomsen";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"-3";"";""
"109";"equipment";"Plasmanachbrenner";"";"";"";"""Es gibt Wichtigeres im Leben, als beständig dessen Geschwindigkeit zu erhöhen."" - Mahatma Gandhi";"";"4";"P. Linforth";"";"";"";"";"";"-1";"-3";"+2";"";"";"";"";"";"";"";"";""
